iter	Passed	Remaining
0	3	2106
1	5	2059
2	8	2050
3	11	2027
4	14	2005
5	16	1930
6	19	1918
7	22	1928
8	24	1911
9	27	1890
10	30	1880
11	32	1873
12	35	1865
13	37	1860
14	40	1851
15	43	1842
16	45	1829
17	48	1820
18	50	1824
19	53	1819
20	55	1800
21	58	1796
22	60	1791
23	63	1792
24	66	1799
25	69	1793
26	71	1791
27	74	1786
28	77	1787
29	79	1783
30	82	1783
31	85	1783
32	88	1789
33	91	1791
34	94	1792
35	97	1791
36	99	1785
37	102	1780
38	104	1775
39	107	1770
40	110	1769
41	112	1766
42	115	1767
43	118	1763
44	120	1758
45	123	1756
46	126	1754
47	128	1751
48	131	1748
49	134	1745
50	136	1742
51	139	1738
52	142	1737
53	144	1734
54	147	1731
55	150	1728
56	153	1727
57	155	1726
58	158	1723
59	161	1720
60	164	1718
61	166	1715
62	169	1713
63	172	1712
64	175	1710
65	177	1707
66	180	1709
67	183	1706
68	186	1705
69	189	1702
70	191	1700
71	194	1699
72	197	1697
73	200	1693
74	202	1688
75	205	1685
76	207	1682
77	210	1681
78	213	1679
79	216	1677
80	219	1675
81	221	1673
82	224	1671
83	227	1669
84	230	1667
85	233	1665
86	236	1663
87	239	1662
88	241	1658
89	244	1656
90	247	1654
91	250	1652
92	252	1650
93	255	1648
94	258	1646
95	261	1645
96	264	1643
97	267	1640
98	270	1639
99	273	1643
100	276	1642
101	280	1642
102	282	1640
103	285	1636
104	288	1632
105	290	1629
106	293	1628
107	296	1626
108	299	1622
109	302	1620
110	305	1619
111	308	1617
112	310	1614
113	313	1611
114	316	1609
115	318	1605
116	321	1603
117	324	1600
118	326	1596
119	329	1594
120	332	1590
121	334	1586
122	338	1585
123	340	1583
124	343	1580
125	346	1578
126	349	1575
127	351	1572
128	354	1570
129	357	1567
130	360	1564
131	363	1562
132	366	1560
133	368	1558
134	371	1555
135	374	1553
136	377	1551
137	380	1549
138	383	1546
139	385	1543
140	388	1540
141	390	1536
142	393	1532
143	396	1529
144	399	1527
145	401	1524
146	404	1522
147	407	1519
148	409	1516
149	412	1512
150	415	1510
151	417	1506
152	420	1504
153	423	1501
154	426	1498
155	429	1496
156	431	1492
157	434	1490
158	437	1487
159	439	1483
160	442	1480
161	444	1477
162	447	1474
163	450	1471
164	452	1468
165	455	1466
166	458	1464
167	462	1463
168	465	1462
169	468	1462
170	472	1461
171	475	1460
172	478	1458
173	481	1454
174	484	1452
175	487	1450
176	490	1447
177	492	1444
178	495	1441
179	497	1437
180	500	1434
181	502	1431
182	505	1427
183	507	1424
184	510	1421
185	516	1428
186	523	1435
187	529	1441
188	539	1458
189	548	1471
190	553	1476
191	559	1481
192	564	1482
193	567	1480
194	570	1477
195	573	1474
196	576	1472
197	581	1475
198	587	1478
199	590	1476
200	593	1472
201	595	1469
202	598	1465
203	601	1461
204	603	1457
205	606	1454
206	609	1450
207	611	1446
208	614	1442
209	616	1439
210	619	1435
211	622	1432
212	624	1428
213	627	1425
214	631	1423
215	634	1421
216	637	1417
217	639	1414
218	642	1411
219	645	1407
220	647	1404
221	650	1401
222	653	1397
223	655	1393
224	658	1390
225	661	1388
226	664	1384
227	667	1380
228	669	1377
229	672	1374
230	675	1371
231	678	1368
232	681	1365
233	683	1361
234	686	1358
235	689	1355
236	691	1351
237	694	1348
238	697	1345
239	700	1342
240	703	1338
241	705	1335
242	708	1331
243	710	1328
244	713	1325
245	716	1321
246	719	1318
247	721	1315
248	724	1312
249	726	1308
250	729	1305
251	732	1302
252	735	1298
253	738	1296
